trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",25,0,-230.19423327427972,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.8, 'e': 0.9801}",30,0,-133.17488849368993,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.970299}",30,0,-69.45084643480779,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.96059601}",20,0,-113.23612612243849,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9509900498999999}",25,0,-160.06188734386194,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.941480149401}",20,0,-133.82886286023538,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9320653479069899}",20,4,-9.539710786620082,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.9227446944279201}",20,0,-68.0015136443235,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9135172474836408}",30,0,-132.72534410516863,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088044}",25,0,-152.40303150464672,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.8953382542587164}",30,0,-214.93924002028524,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161292}",30,0,-150.14824111739387,"{0: 17, 1: 7, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",30,0,-60.56412573829323,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689782}",30,0,-40.060965971935495,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412884}",25,0,-88.60550901250049,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.8514577710948755}",25,0,-210.4036696379901,"{0: 8, 1: 2, 2: 13, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839268}",30,16,-28.241576198474,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.8345137614500875}",30,0,-56.6591621683371,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355866}",30,0,-115.35511000070545,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972308}",30,7,-137.93251292246202,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
21,False,"{'a': 0.8, 'e': 0.8097278682212584}",20,0,-71.64226885214936,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.8016305895390459}",25,0,-36.357450030243754,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436554}",30,8,-127.77967164481295,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",20,0,-123.51329389538402,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.7778213593991467}",30,0,-88.82068006041074,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",25,0,-86.94925601245262,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",30,0,-174.49404756902155,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
28,False,"{'a': 0.8, 'e': 0.7547192872036325}",25,0,-63.345702545069614,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315961}",20,12,-4.230966962396353,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.7397003733882802}",20,0,-111.74405683047759,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.7323033696543975}",30,0,-14.21842444009051,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578535}",20,0,-99.10620703499386,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.7177305325982749}",20,0,-67.67824767048135,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.7105532272722921}",20,15,7.336291496818561,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.7034476949995692}",20,0,-69.61651784268098,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.6964132180495735}",25,0,-33.960162458261166,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.6894490858690778}",20,0,-42.91361459538499,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.682554595010387}",20,0,-64.4792545027824,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.6757290490602831}",20,0,-115.32028586065512,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.8, 'e': 0.6689717585696803}",20,0,-20.232645670388603,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.6622820409839835}",25,0,-105.29125699854755,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.8, 'e': 0.6556592205741436}",20,6,0.9489499495631137,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",20,0,-51.50060541320435,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",25,4,-64.03758047553677,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",30,8,-112.77079261028275,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",20,13,10.688760540782884,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.6235253948912}",20,0,-37.77564673436955,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.617290140942288}",20,0,-118.06938507729481,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
49,False,"{'a': 0.8, 'e': 0.611117239532865}",20,9,-42.40059706591822,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.6050060671375364}",20,6,-43.030063711662635,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.8, 'e': 0.598956006466161}",20,12,3.2607982941118125,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",20,4,-62.38293981769688,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",20,8,-66.50984271151805,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",25,0,-26.727512490795412,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
