trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.08399214627545,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.00173666262644,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.91311385020564,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.39784680473521,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.02037695295132,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.60026758381176,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.59147789533309,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.18070584935182,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.91384068768922,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.897636011021866,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,19,-20.40356127398058,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,8.065458355323575,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.6801328454991,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-265.6996978113535,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.84545442230406,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.2402570462849,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.10853861492224,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-51.57488139439319,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.24622546359562,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.84518607481525,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-28.205059099061856,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.45341601354039,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.86235400434089,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,12,-41.49289468721116,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.985144414114494,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,16.46845428246334,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,16,-16.283337734492285,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.152802076992266,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.072953356308744,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.7578727656992,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
